token,true_tag,pred_tag,error_type
",",O,I-PRODUCT,Entity vs O Error
😋,O,I-PROMOTION,Entity vs O Error
😋,O,I-PROMOTION,Entity vs O Error
😋,O,I-PROMOTION,Entity vs O Error
😋,O,I-PROMOTION,Entity vs O Error
😋,O,I-PROMOTION,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
selain,B-PRODUCT,I-PLACE,Label Error
itu,I-PRODUCT,I-PLACE,Label Error
banyak,I-PRODUCT,I-PLACE,Label Error
",",I-PRODUCT,O,Entity vs O Error
pelayanan,B-PROMOTION,O,Entity vs O Error
sangat,I-PROMOTION,O,Entity vs O Error
baik,I-PROMOTION,O,Entity vs O Error
kesini,I-PRODUCT,O,Entity vs O Error
dan,I-PRODUCT,O,Entity vs O Error
dapat,I-PRODUCT,O,Entity vs O Error
rekomen,I-PRODUCT,O,Entity vs O Error
dari,I-PRODUCT,O,Entity vs O Error
teman,I-PRODUCT,O,Entity vs O Error
juga,I-PRODUCT,O,Entity vs O Error
mantabb,I-PRODUCT,O,Entity vs O Error
Oke,B-PRODUCT,I-PRODUCT,Boundary Error
",",I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
Suasananya,B-PLACE,I-PLACE,Boundary Error
oke,I-PLACE,I-PRODUCT,Label Error
ngga,I-PLACE,I-PRODUCT,Label Error
tempat,B-PLACE,I-PLACE,Boundary Error
service,B-PROMOTION,O,Entity vs O Error
cepat,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
menu,B-PRODUCT,O,Entity vs O Error
pedes,B-PRODUCT,I-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
hanya,B-PRODUCT,O,Entity vs O Error
dan,I-PRODUCT,O,Entity vs O Error
.,B-PRODUCT,I-PRODUCT,Boundary Error
sejam,O,I-PROMOTION,Entity vs O Error
Bukan,O,I-PROMOTION,Entity vs O Error
masalah,O,I-PROMOTION,Entity vs O Error
estimasi,O,I-PROMOTION,Entity vs O Error
juga,O,I-PROMOTION,Entity vs O Error
tapi,O,I-PROMOTION,Entity vs O Error
keduluan,O,I-PROMOTION,Entity vs O Error
nyampe,O,I-PROMOTION,Entity vs O Error
ngomongnya,O,I-PROMOTION,Entity vs O Error
Tcih,O,I-PROMOTION,Entity vs O Error
Salah,O,I-PRODUCT,Entity vs O Error
satu,O,I-PRODUCT,Entity vs O Error
resto,O,I-PRODUCT,Entity vs O Error
bakso,O,I-PRODUCT,Entity vs O Error
yang,O,I-PRODUCT,Entity vs O Error
terkenal,O,I-PRODUCT,Entity vs O Error
di,O,I-PRODUCT,Entity vs O Error
Yogyakarta,O,I-PRODUCT,Entity vs O Error
Banyak,O,I-PRODUCT,Entity vs O Error
pilihan,O,I-PRODUCT,Entity vs O Error
menu,O,I-PRODUCT,Entity vs O Error
makanan,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
berbagai,O,I-PRODUCT,Entity vs O Error
macam,O,I-PRODUCT,Entity vs O Error
menu,O,I-PRODUCT,Entity vs O Error
bakso,O,I-PRODUCT,Entity vs O Error
dan,O,I-PRODUCT,Entity vs O Error
mie,O,I-PRODUCT,Entity vs O Error
ayam,O,I-PRODUCT,Entity vs O Error
.,O,I-PRODUCT,Entity vs O Error
Pengunjung,O,I-PRODUCT,Entity vs O Error
datang,O,I-PRODUCT,Entity vs O Error
langsung,O,I-PRODUCT,Entity vs O Error
ambil,O,I-PRODUCT,Entity vs O Error
buku,O,I-PRODUCT,Entity vs O Error
menu,O,I-PRODUCT,Entity vs O Error
+,O,I-PRODUCT,Entity vs O Error
kertas,O,I-PRODUCT,Entity vs O Error
pilihan,O,I-PRODUCT,Entity vs O Error
menu,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
kemudian,O,I-PRODUCT,Entity vs O Error
cari,O,I-PRODUCT,Entity vs O Error
saya,O,I-PRODUCT,Entity vs O Error
pilih,O,I-PRODUCT,Entity vs O Error
bakso,O,I-PRODUCT,Entity vs O Error
tenis,O,I-PRODUCT,Entity vs O Error
jumbo,O,I-PRODUCT,Entity vs O Error
terdiri,O,I-PRODUCT,Entity vs O Error
dari,O,I-PRODUCT,Entity vs O Error
1,O,I-PRODUCT,Entity vs O Error
buah,O,I-PRODUCT,Entity vs O Error
bakso,O,I-PRODUCT,Entity vs O Error
tenis,O,I-PRODUCT,Entity vs O Error
besar,O,I-PRODUCT,Entity vs O Error
dan,O,I-PRODUCT,Entity vs O Error
toping,O,I-PRODUCT,Entity vs O Error
tempat,O,I-PLACE,Entity vs O Error
makan,O,I-PLACE,Entity vs O Error
yang,O,I-PRODUCT,Entity vs O Error
sangat,O,I-PRODUCT,Entity vs O Error
enak,O,I-PRODUCT,Entity vs O Error
rekomem,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
banyak,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
harganya,B-PRICE,B-PLACE,Label Error
juga,I-PRICE,O,Entity vs O Error
lokasi,B-PLACE,O,Entity vs O Error
dengan,I-PLACE,O,Entity vs O Error
kawasan,I-PLACE,O,Entity vs O Error
UNY,I-PLACE,O,Entity vs O Error
tempat,B-PLACE,I-PLACE,Boundary Error
dan,O,I-PRODUCT,Entity vs O Error
dan,O,I-PRODUCT,Entity vs O Error
cocok,B-PRODUCT,I-PRODUCT,Boundary Error
Makanan,B-PRODUCT,I-PRODUCT,Boundary Error
pelayanan,B-PROMOTION,O,Entity vs O Error
oke,I-PROMOTION,O,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
Rekomen,B-PROMOTION,I-PLACE,Label Error
deh,I-PROMOTION,I-PLACE,Label Error
kesini,I-PROMOTION,I-PLACE,Label Error
.,I-PRODUCT,O,Entity vs O Error
makanannya,B-PRODUCT,O,Entity vs O Error
UNK,B-PLACE,I-PLACE,Boundary Error
Pelayanan,B-PROMOTION,O,Entity vs O Error
ok,I-PROMOTION,O,Entity vs O Error
Rasa,B-PRODUCT,I-PRODUCT,Boundary Error
..,O,I-PRODUCT,Entity vs O Error
Klo,O,I-PRODUCT,Entity vs O Error
mau,O,I-PRODUCT,Entity vs O Error
beli,O,I-PRODUCT,Entity vs O Error
juga,O,I-PRODUCT,Entity vs O Error
ok,O,I-PRODUCT,Entity vs O Error
suka,O,I-PRODUCT,Entity vs O Error
UNK,B-PRODUCT,I-PRODUCT,Boundary Error
..,O,I-PRODUCT,Entity vs O Error
ada,B-PLACE,O,Entity vs O Error
juga,I-PLACE,I-PRODUCT,Label Error
.,I-PRODUCT,O,Entity vs O Error
Cobain,I-PRODUCT,O,Entity vs O Error
deh,I-PRODUCT,O,Entity vs O Error
...,B-PRODUCT,O,Entity vs O Error
krn,I-PRODUCT,O,Entity vs O Error
menurut,I-PRODUCT,O,Entity vs O Error
gw,I-PRODUCT,O,Entity vs O Error
nih,I-PRODUCT,O,Entity vs O Error
kasih,I-PRODUCT,O,Entity vs O Error
👍,I-PRODUCT,O,Entity vs O Error
.,O,I-PLACE,Entity vs O Error
UNK,I-PRODUCT,B-PRODUCT,Boundary Error
UNK,O,I-PRODUCT,Entity vs O Error
makan,O,I-PRODUCT,Entity vs O Error
bikin,O,I-PRODUCT,Entity vs O Error
eneg,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
kuah,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
banyak,B-PRODUCT,I-PRODUCT,Boundary Error
pelayanan,B-PROMOTION,O,Entity vs O Error
cepat,I-PROMOTION,O,Entity vs O Error
cuma,O,I-PRODUCT,Entity vs O Error
menurutku,O,I-PRODUCT,Entity vs O Error
kuahnya,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
tapi,O,I-PRODUCT,Entity vs O Error
dari,O,I-PRODUCT,Entity vs O Error
rasa,B-PRODUCT,I-PRODUCT,Boundary Error
",",I-PRODUCT,O,Entity vs O Error
pelayanannya,B-PROMOTION,O,Entity vs O Error
juga,I-PROMOTION,O,Entity vs O Error
memuaskan,I-PROMOTION,O,Entity vs O Error
.,I-PROMOTION,O,Entity vs O Error
Pesan,B-PROMOTION,O,Entity vs O Error
5,I-PROMOTION,O,Entity vs O Error
menit,I-PROMOTION,O,Entity vs O Error
langsung,I-PROMOTION,O,Entity vs O Error
ready,I-PROMOTION,O,Entity vs O Error
.,I-PROMOTION,O,Entity vs O Error
Recomended,B-PROMOTION,I-PROMOTION,Boundary Error
servisnya,B-PROMOTION,O,Entity vs O Error
oke,I-PROMOTION,O,Entity vs O Error
banget,I-PROMOTION,O,Entity vs O Error
baru,B-PROMOTION,O,Entity vs O Error
dateng,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
mba,I-PROMOTION,O,Entity vs O Error
pelayannya,I-PROMOTION,O,Entity vs O Error
ramah,I-PROMOTION,O,Entity vs O Error
dan,I-PROMOTION,O,Entity vs O Error
langsung,I-PROMOTION,O,Entity vs O Error
sigap,I-PROMOTION,O,Entity vs O Error
cariin,I-PROMOTION,O,Entity vs O Error
tempat,I-PROMOTION,O,Entity vs O Error
duduk,I-PROMOTION,O,Entity vs O Error
Rekomen,B-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
bakso,I-PRODUCT,B-PRODUCT,Boundary Error
dan,O,I-PRODUCT,Entity vs O Error
dan,B-PRODUCT,I-PRODUCT,Boundary Error
",",I-PRODUCT,O,Entity vs O Error
Recomended,O,I-PROMOTION,Entity vs O Error
parah,O,I-PROMOTION,Entity vs O Error
ga,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
dan,O,I-PLACE,Entity vs O Error
harga,B-PRICE,I-PLACE,Label Error
cukup,I-PRICE,I-PLACE,Label Error
OK,I-PRICE,I-PLACE,Label Error
.,I-PRICE,O,Entity vs O Error
Saya,I-PRICE,O,Entity vs O Error
bakso,B-PRODUCT,I-PRODUCT,Boundary Error
✅,B-PLACE,O,Entity vs O Error
Cari,I-PLACE,B-PLACE,Boundary Error
Layanan,O,I-PLACE,Entity vs O Error
pegawai,O,I-PLACE,Entity vs O Error
cekatan,O,I-PLACE,Entity vs O Error
bakso,I-PRODUCT,B-PRODUCT,Boundary Error
✅,I-PRODUCT,O,Entity vs O Error
✅,I-PRODUCT,O,Entity vs O Error
Sambal,I-PRODUCT,O,Entity vs O Error
uleknya,I-PRODUCT,O,Entity vs O Error
nyossss,I-PRODUCT,O,Entity vs O Error
 ,I-PRODUCT,O,Entity vs O Error
Saya,I-PRODUCT,O,Entity vs O Error
coba,I-PRODUCT,O,Entity vs O Error
bakso,I-PRODUCT,O,Entity vs O Error
urat,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
mercon,I-PRODUCT,O,Entity vs O Error
dan,I-PRODUCT,O,Entity vs O Error
sumsum,I-PRODUCT,O,Entity vs O Error
:,I-PRODUCT,O,Entity vs O Error
☑,B-PRICE,O,Entity vs O Error
️Harga,I-PRICE,O,Entity vs O Error
standar,I-PRICE,O,Entity vs O Error
kota,I-PRICE,O,Entity vs O Error
besar,I-PRICE,O,Entity vs O Error
☑,B-PRODUCT,O,Entity vs O Error
️Rasa,I-PRODUCT,B-PRODUCT,Boundary Error
",",I-PRODUCT,O,Entity vs O Error
kurang,I-PRODUCT,O,Entity vs O Error
☑,B-PRODUCT,O,Entity vs O Error
Tiap,B-PROMOTION,O,Entity vs O Error
ke,I-PROMOTION,O,Entity vs O Error
jogja,I-PROMOTION,O,Entity vs O Error
wajib,I-PROMOTION,O,Entity vs O Error
kesini,I-PROMOTION,O,Entity vs O Error
kalau,I-PRODUCT,O,Entity vs O Error
kesini,I-PRODUCT,O,Entity vs O Error
Mi,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
rasanya,B-PRODUCT,I-PRODUCT,Boundary Error
Bakso,B-PRODUCT,I-PRODUCT,Boundary Error
bgt,I-PRODUCT,B-PRODUCT,Boundary Error
",",O,I-PRODUCT,Entity vs O Error
paling,B-PRODUCT,I-PRODUCT,Boundary Error
parkir,B-PLACE,I-PLACE,Boundary Error
😄,O,I-PLACE,Entity vs O Error
UNK,O,B-PRODUCT,Entity vs O Error
Rasanya,O,B-PRODUCT,Entity vs O Error
enak,O,I-PRODUCT,Entity vs O Error
sekali,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
sesuai,O,I-PRODUCT,Entity vs O Error
ekspektasi,O,I-PRODUCT,Entity vs O Error
.,O,I-PRODUCT,Entity vs O Error
rasa,B-PRODUCT,I-PRODUCT,Boundary Error
Hanya,B-PRODUCT,I-PRODUCT,Boundary Error
Terima,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
baksonya,B-PRODUCT,I-PRODUCT,Boundary Error
....,O,I-PRODUCT,Entity vs O Error
Tempat,B-PLACE,I-PLACE,Boundary Error
enak,I-PLACE,I-PRODUCT,Label Error
",",O,I-PLACE,Entity vs O Error
bakso,B-PRODUCT,I-PRODUCT,Boundary Error
Bakso,I-PRODUCT,B-PRODUCT,Boundary Error
",",B-PLACE,I-PLACE,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
Tempat,B-PLACE,I-PLACE,Boundary Error
maupun,I-PLACE,I-PRODUCT,Label Error
.,I-PLACE,O,Entity vs O Error
ini,B-PRODUCT,I-PRODUCT,Boundary Error
",",I-PRODUCT,O,Entity vs O Error
belum,I-PRODUCT,O,Entity vs O Error
harus,I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
UNK,I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
",",I-PRODUCT,O,Entity vs O Error
juga,O,I-PRODUCT,Entity vs O Error
oke,O,I-PRODUCT,Entity vs O Error
banget,O,I-PRODUCT,Entity vs O Error
nyobain,B-PROMOTION,O,Entity vs O Error
Bakso,I-PROMOTION,O,Entity vs O Error
Pa'jero,I-PROMOTION,O,Entity vs O Error
yg,I-PROMOTION,O,Entity vs O Error
fyp,I-PROMOTION,O,Entity vs O Error
..,I-PROMOTION,O,Entity vs O Error
1,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
cuma,B-PRODUCT,I-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
Tapi,B-PRODUCT,I-PRODUCT,Boundary Error
pooollll,I-PRODUCT,O,Entity vs O Error
..,I-PRODUCT,O,Entity vs O Error
setiap,B-PRODUCT,O,Entity vs O Error
ada,I-PRODUCT,O,Entity vs O Error
kerabat,I-PRODUCT,O,Entity vs O Error
dteng,I-PRODUCT,O,Entity vs O Error
ke,I-PRODUCT,O,Entity vs O Error
jogja,I-PRODUCT,O,Entity vs O Error
pasti,I-PRODUCT,O,Entity vs O Error
jdi,I-PRODUCT,O,Entity vs O Error
salah,I-PRODUCT,O,Entity vs O Error
satu,I-PRODUCT,O,Entity vs O Error
t4,I-PRODUCT,O,Entity vs O Error
makan,I-PRODUCT,O,Entity vs O Error
yg,I-PRODUCT,O,Entity vs O Error
harus,I-PRODUCT,O,Entity vs O Error
dikunjungi,I-PRODUCT,O,Entity vs O Error
customer,O,I-PROMOTION,Entity vs O Error
lain,O,I-PROMOTION,Entity vs O Error
juga,O,I-PROMOTION,Entity vs O Error
diperhatikan,O,I-PROMOTION,Entity vs O Error
sedikit,B-PRODUCT,I-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
",",O,I-PLACE,Entity vs O Error
waktu,B-PROMOTION,I-PLACE,Label Error
tunggunya,I-PROMOTION,O,Entity vs O Error
sekitar,I-PROMOTION,O,Entity vs O Error
10,I-PROMOTION,O,Entity vs O Error
-,I-PROMOTION,O,Entity vs O Error
15,I-PROMOTION,O,Entity vs O Error
menit,I-PROMOTION,O,Entity vs O Error
di,I-PROMOTION,O,Entity vs O Error
peak,I-PROMOTION,O,Entity vs O Error
hour,I-PROMOTION,O,Entity vs O Error
Pesan,O,B-PRODUCT,Entity vs O Error
bakso,O,B-PRODUCT,Entity vs O Error
kuah,O,I-PRODUCT,Entity vs O Error
sama,O,I-PRODUCT,Entity vs O Error
bakso,O,I-PRODUCT,Entity vs O Error
bakar,O,I-PRODUCT,Entity vs O Error
UNK,O,I-PRODUCT,Entity vs O Error
terlalu,O,I-PRODUCT,Entity vs O Error
jg,O,I-PRODUCT,Entity vs O Error
ga,O,I-PRODUCT,Entity vs O Error
panas,O,I-PRODUCT,Entity vs O Error
tuh,O,I-PRODUCT,Entity vs O Error
bakso,O,I-PRODUCT,Entity vs O Error
bakarnya,O,I-PRODUCT,Entity vs O Error
gatau,O,I-PRODUCT,Entity vs O Error
bakarnya,O,I-PRODUCT,Entity vs O Error
pake,O,I-PRODUCT,Entity vs O Error
UNK,O,I-PRODUCT,Entity vs O Error
apaan,O,I-PRODUCT,Entity vs O Error
bisa,O,I-PRODUCT,Entity vs O Error
UNK,O,I-PRODUCT,Entity vs O Error
itu,O,I-PRODUCT,Entity vs O Error
enak,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PLACE,Entity vs O Error
tapi,O,I-PLACE,Entity vs O Error
pelayanannya,B-PROMOTION,O,Entity vs O Error
kurang,I-PROMOTION,O,Entity vs O Error
menurut,I-PROMOTION,O,Entity vs O Error
saya,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
karena,I-PROMOTION,O,Entity vs O Error
saya,I-PROMOTION,O,Entity vs O Error
pesan,I-PROMOTION,O,Entity vs O Error
duluan,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
tp,I-PROMOTION,O,Entity vs O Error
yang,I-PROMOTION,O,Entity vs O Error
datang,I-PROMOTION,O,Entity vs O Error
belakangan,I-PROMOTION,O,Entity vs O Error
malah,I-PROMOTION,O,Entity vs O Error
dilayaninya,I-PROMOTION,O,Entity vs O Error
duluan,I-PROMOTION,O,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
rasanya,B-PRODUCT,I-PRODUCT,Boundary Error
hanya,O,I-PRODUCT,Entity vs O Error
sop,B-PRODUCT,I-PRODUCT,Boundary Error
",",O,I-PLACE,Entity vs O Error
parkir,B-PLACE,I-PLACE,Boundary Error
",",O,I-PLACE,Entity vs O Error
ada,B-PLACE,I-PLACE,Boundary Error
",",O,I-PLACE,Entity vs O Error
pelayanan,B-PROMOTION,O,Entity vs O Error
cepat,I-PROMOTION,O,Entity vs O Error
dan,I-PROMOTION,O,Entity vs O Error
baik,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
Iga,B-PRODUCT,I-PRODUCT,Boundary Error
",",I-PRODUCT,O,Entity vs O Error
empuk,B-PRODUCT,I-PRODUCT,Boundary Error
Sayangnya,B-PRODUCT,O,Entity vs O Error
paketnya,I-PRODUCT,O,Entity vs O Error
habis,I-PRODUCT,O,Entity vs O Error
semua,I-PRODUCT,O,Entity vs O Error
padahal,I-PRODUCT,O,Entity vs O Error
jam,I-PRODUCT,O,Entity vs O Error
12,I-PRODUCT,O,Entity vs O Error
pas,I-PRODUCT,O,Entity vs O Error
saat,I-PRODUCT,O,Entity vs O Error
makan,I-PRODUCT,O,Entity vs O Error
siang,I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
Untuk,B-PRODUCT,B-PRICE,Label Error
harga,I-PRODUCT,I-PRICE,Label Error
segitu,I-PRODUCT,I-PRICE,Label Error
",",I-PRODUCT,O,Entity vs O Error
dari,I-PRODUCT,B-PRODUCT,Boundary Error
segi,I-PRODUCT,B-PRODUCT,Boundary Error
baksonya,I-PRODUCT,B-PRODUCT,Boundary Error
lebih,I-PRODUCT,O,Entity vs O Error
wah,I-PRODUCT,I-PRICE,Label Error
lagi,I-PRODUCT,O,Entity vs O Error
.,I-PRODUCT,O,Entity vs O Error
Jika,B-PROMOTION,I-PRICE,Label Error
harga,I-PROMOTION,I-PRICE,Label Error
segitu,I-PROMOTION,I-PRICE,Label Error
dengan,I-PROMOTION,I-PRICE,Label Error
rasa,I-PROMOTION,B-PRODUCT,Label Error
standar,I-PROMOTION,I-PRICE,Label Error
",",I-PROMOTION,O,Entity vs O Error
harusnya,I-PROMOTION,I-PRICE,Label Error
bisa,I-PROMOTION,I-PRICE,Label Error
dilebihkan,I-PROMOTION,I-PRICE,Label Error
di,I-PROMOTION,O,Entity vs O Error
bagian,I-PROMOTION,I-PLACE,Label Error
servicenya,I-PROMOTION,O,Entity vs O Error
.,I-PROMOTION,O,Entity vs O Error
Tadi,B-PROMOTION,O,Entity vs O Error
saya,I-PROMOTION,O,Entity vs O Error
order,I-PROMOTION,I-PLACE,Label Error
hanya,I-PROMOTION,O,Entity vs O Error
2,I-PROMOTION,O,Entity vs O Error
bakso,I-PROMOTION,O,Entity vs O Error
dan,I-PROMOTION,O,Entity vs O Error
1,I-PROMOTION,O,Entity vs O Error
side,I-PROMOTION,I-PLACE,Label Error
dish,I-PROMOTION,I-PLACE,Label Error
",",I-PROMOTION,O,Entity vs O Error
tapi,I-PROMOTION,O,Entity vs O Error
2,I-PROMOTION,O,Entity vs O Error
-,I-PROMOTION,O,Entity vs O Error
3,I-PROMOTION,O,Entity vs O Error
customer,I-PROMOTION,O,Entity vs O Error
yang,I-PROMOTION,O,Entity vs O Error
isinya,I-PROMOTION,O,Entity vs O Error
rombongan,I-PROMOTION,O,Entity vs O Error
sebagong,I-PROMOTION,O,Entity vs O Error
.,I-PROMOTION,O,Entity vs O Error
Udah,B-PROMOTION,O,Entity vs O Error
diprotes,I-PROMOTION,O,Entity vs O Error
sekali,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
ditunggu,I-PROMOTION,O,Entity vs O Error
10,I-PROMOTION,O,Entity vs O Error
-,I-PROMOTION,O,Entity vs O Error
15,I-PROMOTION,O,Entity vs O Error
menit,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
tapi,I-PROMOTION,O,Entity vs O Error
tak,I-PROMOTION,O,Entity vs O Error
kunjung,I-PROMOTION,O,Entity vs O Error
datang,I-PROMOTION,O,Entity vs O Error
",",I-PROMOTION,O,Entity vs O Error
dia,I-PROMOTION,O,Entity vs O Error
malah,I-PROMOTION,O,Entity vs O Error
datang,I-PROMOTION,O,Entity vs O Error
ke,I-PROMOTION,O,Entity vs O Error
customer,I-PROMOTION,O,Entity vs O Error
yang,I-PROMOTION,O,Entity vs O Error
lain,I-PROMOTION,O,Entity vs O Error
lagi,I-PROMOTION,O,Entity vs O Error
.,I-PROMOTION,O,Entity vs O Error
Ramai,O,I-PRODUCT,Entity vs O Error
sekali,O,I-PRODUCT,Entity vs O Error
",",O,I-PRODUCT,Entity vs O Error
lumayan,B-PLACE,I-PRODUCT,Label Error
ramai,I-PLACE,I-PRODUCT,Label Error
Kelebihan,O,B-PRODUCT,Entity vs O Error
1,O,I-PRODUCT,Entity vs O Error
Tekstur,B-PRODUCT,I-PRODUCT,Boundary Error
.,O,I-PRODUCT,Entity vs O Error
Porsi,B-PRODUCT,I-PRODUCT,Boundary Error
Harga,B-PRICE,I-PRICE,Boundary Error
-,I-PRICE,I-PLACE,Label Error
Rp,I-PRICE,I-PLACE,Label Error
20.000,I-PRICE,I-PLACE,Label Error
),I-PRICE,I-PLACE,Label Error
5,O,I-PLACE,Entity vs O Error
Lokasi,B-PLACE,I-PLACE,Boundary Error
.,O,I-PLACE,Entity vs O Error
Ulasan,O,B-PRODUCT,Entity vs O Error
Bakso,O,B-PRODUCT,Entity vs O Error
Pajero,B-PRODUCT,I-PRODUCT,Boundary Error
tempat,I-PRODUCT,I-PLACE,Label Error
!,O,I-PRODUCT,Entity vs O Error
Rasa,B-PRODUCT,I-PRODUCT,Boundary Error
Harga,B-PRICE,I-PRICE,Boundary Error
porsi,B-PRODUCT,I-PRICE,Label Error
yang,I-PRODUCT,I-PRICE,Label Error
enak,B-PRODUCT,I-PRODUCT,Boundary Error
tetapi,O,I-PRODUCT,Entity vs O Error
es,B-PRODUCT,I-PRODUCT,Boundary Error
tapi,O,I-PRODUCT,Entity vs O Error
semua,B-PRODUCT,I-PRODUCT,Boundary Error
Toilet,B-PLACE,I-PLACE,Boundary Error
..,B-PLACE,I-PLACE,Boundary Error
...,O,I-PLACE,Entity vs O Error
dan,O,I-PLACE,Entity vs O Error
harus,O,I-PLACE,Entity vs O Error
copot,O,I-PLACE,Entity vs O Error
alas,O,I-PLACE,Entity vs O Error
kaki,O,I-PLACE,Entity vs O Error
.,O,I-PLACE,Entity vs O Error
Yang,O,I-PLACE,Entity vs O Error
pakai,O,I-PLACE,Entity vs O Error
sepatu,O,I-PLACE,Entity vs O Error
repot,O,I-PLACE,Entity vs O Error
harus,O,I-PLACE,Entity vs O Error
copot2,O,I-PLACE,Entity vs O Error
...,O,I-PLACE,Entity vs O Error
cepat,I-PRODUCT,O,Entity vs O Error
datang,I-PRODUCT,O,Entity vs O Error
harganya,I-PRODUCT,I-PRICE,Label Error
nyobaiin,O,B-PRODUCT,Entity vs O Error
es,O,I-PRODUCT,Entity vs O Error
teler,O,I-PRODUCT,Entity vs O Error
+,O,I-PRODUCT,Entity vs O Error
es,O,I-PRODUCT,Entity vs O Error
creamnya,O,I-PRODUCT,Entity vs O Error
overall,O,I-PRODUCT,Entity vs O Error
langganan,B-PRODUCT,O,Entity vs O Error
UNK,B-PLACE,I-PLACE,Boundary Error
",",I-PLACE,O,Entity vs O Error
yang,I-PLACE,O,Entity vs O Error
